epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,lr
1,46.31564212095612,49.532508850097656,52.716919814957336,56.696773529052734,87.89940643310547,0.0007
2,43.225412200058415,46.55223083496094,48.09720212180155,50.438560485839844,82.62638854980469,0.0007
3,37.231847156827776,39.68543243408203,41.86194433202468,44.184120178222656,73.34575653076172,0.0007
4,30.276244822649407,32.43071746826172,34.364530995158844,36.51217269897461,62.52864456176758,0.0007
5,24.2472462975818,26.35994529724121,28.932989503739766,31.080446243286133,52.057640075683594,0.0007
6,18.944548203669925,20.967126846313477,24.589432320974705,26.75410270690918,41.70273971557617,0.0007
7,13.69022469899465,15.680536270141602,16.713756239732913,18.902177810668945,28.65146827697754,0.0007
8,10.782134513626213,12.788572311401367,16.144976407641696,18.355796813964844,26.320253372192383,0.0007
9,8.926464120129953,10.835347175598145,19.33361103826048,21.485158920288086,30.885475158691406,0.0007
10,8.53191726461522,10.503296852111816,21.528516979535105,23.73743438720703,34.71669387817383,0.0007
