epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,lr
1,46.9520987434902,49.65217208862305,53.62905992384102,57.62136459350586,89.1498031616211,0.0007
2,45.40350090724596,49.351806640625,52.07612679861046,55.98566436767578,87.49101257324219,0.0007
3,41.53959898255218,44.76835250854492,47.27343845704035,49.5819206237793,81.06501007080078,0.0007
4,34.849888642867285,37.11589050292969,41.567098031913574,43.83583068847656,71.38928985595703,0.0007
5,28.12625924472151,30.23927116394043,33.2815084848819,35.485877990722656,59.30760955810547,0.0007
6,22.51688801223549,24.54214096069336,28.79740101897858,30.95656967163086,49.56099319458008,0.0007
7,17.05872950918492,19.044540405273438,22.19153442188082,24.31695556640625,38.382843017578125,0.0007
8,12.683430814671553,14.669882774353027,17.338793851130134,19.50375747680664,29.53530502319336,0.0007
9,10.461023247760275,12.384243965148926,17.955025955107864,20.103715896606445,29.943531036376953,0.0007
10,8.96808466846975,10.877739906311035,16.16889169958282,18.307323455810547,27.17208480834961,0.0007
