model_key,fold_name,test_group,val_group,best_epoch,best_val_mae,test_mae,test_rmse,test_r2,test_smape,checkpoint_path,history_path,prediction_path
A,holdout_F01,F01,F02,8,18.580190658569336,4.648744583129883,5.7177815437316895,0.9397779446678288,19.283100128173828,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\A\holdout_F01\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F01\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F01\predictions.csv
A,holdout_F02,F02,F03,6,7.041891574859619,19.019794464111328,21.442338943481445,0.4964878951546836,47.36238861083984,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\A\holdout_F02\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F02\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F02\predictions.csv
A,holdout_F03,F03,F04,7,16.408782958984375,26.377084732055664,27.13603782653809,-0.3564174459190665,65.63232421875,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\A\holdout_F03\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F03\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F03\predictions.csv
A,holdout_F04,F04,F05,3,16.10728645324707,6.011597633361816,8.100043296813965,0.8791420634300174,29.413991928100582,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\A\holdout_F04\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F04\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F04\predictions.csv
A,holdout_F05,F05,F06,2,12.82486343383789,16.65707778930664,17.958648681640625,0.6467642998356751,61.47710037231445,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\A\holdout_F05\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F05\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F05\predictions.csv
A,holdout_F06,F06,F01,12,11.178717613220217,18.693096160888672,24.152572631835938,-0.0631475815790418,54.81309127807617,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\A\holdout_F06\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F06\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\A\holdout_F06\predictions.csv
B,holdout_F01,F01,F02,2,17.621749877929688,11.186996459960938,13.362582206726074,0.6710868140070181,39.62630462646485,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\B\holdout_F01\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F01\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F01\predictions.csv
B,holdout_F02,F02,F03,2,9.12597370147705,17.580568313598633,20.235183715820312,0.5515852111010701,44.714481353759766,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\B\holdout_F02\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F02\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F02\predictions.csv
B,holdout_F03,F03,F04,9,13.135912895202637,22.141338348388672,23.241668701171875,0.0049723770873735,59.39463806152344,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\B\holdout_F03\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F03\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F03\predictions.csv
B,holdout_F04,F04,F05,1,15.12160587310791,6.779482364654541,7.680332183837891,0.8913423006673528,27.916749954223636,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\B\holdout_F04\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F04\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F04\predictions.csv
B,holdout_F05,F05,F06,7,17.43155860900879,14.841543197631836,20.206897735595703,0.5527848384724784,32.91843795776367,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\B\holdout_F05\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F05\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F05\predictions.csv
B,holdout_F06,F06,F01,4,4.94551944732666,17.804950714111328,22.86798095703125,0.046935216474803,53.87207412719727,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\B\holdout_F06\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F06\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\B\holdout_F06\predictions.csv
C,holdout_F01,F01,F02,1,13.816361427307127,7.240108966827393,9.944221496582031,0.817844597974216,24.18279266357422,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\C\holdout_F01\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F01\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F01\predictions.csv
C,holdout_F02,F02,F03,1,5.771101474761963,21.057153701782227,24.084192276000977,0.3647716907510789,53.176902770996094,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\C\holdout_F02\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F02\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F02\predictions.csv
C,holdout_F03,F03,F04,8,14.316871643066406,22.75926399230957,25.042097091674805,-0.1551593237637172,61.109619140625,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\C\holdout_F03\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F03\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F03\predictions.csv
C,holdout_F04,F04,F05,1,15.413625717163086,7.647079944610596,10.784260749816896,0.7857695229271731,33.84365463256836,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\C\holdout_F04\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F04\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F04\predictions.csv
C,holdout_F05,F05,F06,8,17.787246704101562,15.821843147277832,19.246980667114254,0.5942650292314555,38.37841796875,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\C\holdout_F05\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F05\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F05\predictions.csv
C,holdout_F06,F06,F01,8,7.446393013000488,20.880023956298828,26.20276260375977,-0.2512985684950464,58.46101760864258,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\C\holdout_F06\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F06\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\C\holdout_F06\predictions.csv
D,holdout_F01,F01,F02,5,14.55073356628418,6.199581146240234,8.332378387451172,0.8721094417892429,23.007593154907227,C:\Users\admin\Desktop\Strawberry-RUL-prediction\models\strawberry\runs\strawberry_loocv_seq8_image_only\D\holdout_F01\best_model.pt,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\D\holdout_F01\history.csv,C:\Users\admin\Desktop\Strawberry-RUL-prediction\output\runs\strawberry\strawberry_loocv_seq8_image_only\D\holdout_F01\predictions.csv
