sample_id,fruit_id,split,seq_len,session_id,start_index,start_timestamp,end_timestamp,target_rul_hours,image_paths,temperature_seq,humidity_seq,temp_missing_seq,humidity_missing_seq,gap_hours_max,gap_hours_mean,elapsed_hours_end
F01_s00_0000,F01,train,8,0,0,2026-03-18 12:26:00,2026-03-18 13:19:00,78.68,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-26-28_frame-1_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-34-28_frame-2_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-41-28_frame-3_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-49-28_frame-4_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-56-28_frame-5_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-04-28_frame-6_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png')","(21.100000381469727, 22.899999618530273, 21.899999618530273, 23.0, 24.0, 24.0, 22.0, 20.700000762939453)","(63.0, 63.0, 63.0, 63.0, 64.0, 63.0, 62.0, 65.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.11041666567325592,0.8833333333333333
F01_s00_0001,F01,train,8,0,1,2026-03-18 12:34:00,2026-03-18 13:26:00,78.56,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-34-28_frame-2_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-41-28_frame-3_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-49-28_frame-4_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-56-28_frame-5_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-04-28_frame-6_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png')","(22.899999618530273, 21.899999618530273, 23.0, 24.0, 24.0, 22.0, 20.700000762939453, 21.399999618530273)","(63.0, 63.0, 63.0, 64.0, 63.0, 62.0, 65.0, 62.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.0
F01_s00_0002,F01,train,8,0,2,2026-03-18 12:41:00,2026-03-18 13:34:00,78.43,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-41-28_frame-3_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-49-28_frame-4_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-56-28_frame-5_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-04-28_frame-6_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png')","(21.899999618530273, 23.0, 24.0, 24.0, 22.0, 20.700000762939453, 21.399999618530273, 23.899999618530273)","(63.0, 63.0, 64.0, 63.0, 62.0, 65.0, 62.0, 61.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.1333333333333333
F01_s00_0003,F01,train,8,0,3,2026-03-18 12:49:00,2026-03-18 13:41:00,78.31,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-49-28_frame-4_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-56-28_frame-5_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-04-28_frame-6_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png')","(23.0, 24.0, 24.0, 22.0, 20.700000762939453, 21.399999618530273, 23.899999618530273, 21.700000762939453)","(63.0, 64.0, 63.0, 62.0, 65.0, 62.0, 61.0, 20.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.25
F01_s00_0004,F01,train,8,0,4,2026-03-18 12:56:00,2026-03-18 13:49:00,78.18,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_12-56-28_frame-5_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-04-28_frame-6_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-49-28_frame-12_F01.png')","(24.0, 24.0, 22.0, 20.700000762939453, 21.399999618530273, 23.899999618530273, 21.700000762939453, 20.0)","(64.0, 63.0, 62.0, 65.0, 62.0, 61.0, 20.0, 62.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.3833333333333333
F01_s00_0005,F01,train,8,0,5,2026-03-18 13:04:00,2026-03-18 13:56:00,78.06,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-04-28_frame-6_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-49-28_frame-12_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-56-28_frame-13_F01.png')","(24.0, 22.0, 20.700000762939453, 21.399999618530273, 23.899999618530273, 21.700000762939453, 20.0, 20.0)","(63.0, 62.0, 65.0, 62.0, 61.0, 20.0, 62.0, 64.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.5
F01_s00_0006,F01,train,8,0,6,2026-03-18 13:11:00,2026-03-18 14:04:00,77.93,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-11-28_frame-7_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-49-28_frame-12_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-56-28_frame-13_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-04-28_frame-14_F01.png')","(22.0, 20.700000762939453, 21.399999618530273, 23.899999618530273, 21.700000762939453, 20.0, 20.0, 20.100000381469727)","(62.0, 65.0, 62.0, 61.0, 20.0, 62.0, 64.0, 20.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.6333333333333333
F01_s00_0007,F01,train,8,0,7,2026-03-18 13:19:00,2026-03-18 14:11:00,77.81,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-19-28_frame-8_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-49-28_frame-12_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-56-28_frame-13_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-04-28_frame-14_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-11-29_frame-15_F01.png')","(20.700000762939453, 21.399999618530273, 23.899999618530273, 21.700000762939453, 20.0, 20.0, 20.100000381469727, 20.0)","(65.0, 62.0, 61.0, 20.0, 62.0, 64.0, 20.0, 65.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.75
F01_s00_0008,F01,train,8,0,8,2026-03-18 13:26:00,2026-03-18 14:19:00,77.68,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-26-28_frame-9_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-49-28_frame-12_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-56-28_frame-13_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-04-28_frame-14_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-11-29_frame-15_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-19-29_frame-16_F01.png')","(21.399999618530273, 23.899999618530273, 21.700000762939453, 20.0, 20.0, 20.100000381469727, 20.0, 24.0)","(62.0, 61.0, 20.0, 62.0, 64.0, 20.0, 65.0, 62.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,1.8833333333333333
F01_s00_0009,F01,train,8,0,9,2026-03-18 13:34:00,2026-03-18 14:26:00,77.56,"('C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-34-28_frame-10_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-41-28_frame-11_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-49-28_frame-12_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_13-56-28_frame-13_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-04-28_frame-14_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-11-29_frame-15_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-19-29_frame-16_F01.png', 'C:\\Users\\admin\\Desktop\\Strawberry-RUL-prediction\\data\\03_split\\strawberry\\train\\images\\F01\\2026-03-18_14-26-29_frame-17_F01.png')","(23.899999618530273, 21.700000762939453, 20.0, 20.0, 20.100000381469727, 20.0, 24.0, 22.0)","(61.0, 20.0, 62.0, 64.0, 20.0, 65.0, 62.0, 61.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13333334028720856,0.125,2.0
